Credor;Documento;Lançamento;Qt.;Ind.;Dias;Valor no vencto;Acréscimo;Desconto;Total
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;CFA MAXCONT;01/01/2025;5;;;R$ 1.983,80;R$ 0,00;R$ 0,00;R$ 1.983,80
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;BOL ABERTURA EMPRESA;13/03/2025;1;;;R$ 1.518,00;R$ 0,00;R$ 0,00;R$ 1.518,00
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;BOL CERTIFICADO DIGITAL;15/04/2025;1;;;R$ 197,00;R$ 0,00;R$ 0,00;R$ 197,00
CONSELHO REGIONAL DOS REPRESENTANTES COMERCIAIS NO ESTADO DO CEARA;BOL 00170600000;12/05/2025;1;;;R$ 975,89;R$ 0,00;R$ 0,00;R$ 975,89
MAXCONT CONSULTORIA LTDA;BOL 052025.;01/06/2025;1;;;R$ 847,00;R$ 0,00;R$ 0,00;R$ 847,00
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;BOL 072025;01/07/2025;1;;;R$ 847,00;R$ 0,00;R$ 0,00;R$ 847,00
DARLANN FERREIRA XIMENES 06469519393;BOL 12;14/08/2025;1;;;R$ 650,00;R$ 0,00;R$ 0,00;R$ 650,00
MCJ AUTOMACAO LTDA;REC SISTEMA BSC;19/09/2025;1;;;R$ 2.000,00;R$ 0,00;R$ 0,00;R$ 2.000,00
J N MOURA INFORMATICA EIRELI;BOL NUVEM;23/10/2025;1;;;R$ 115,00;R$ 0,00;R$ 0,00;R$ 115,00
J N MOURA INFORMATICA EIRELI;BOL SOFTWARE;23/10/2025;1;;;R$ 280,00;R$ 0,00;R$ 0,00;R$ 280,00
E P DE ARAGAO ALIMENTOS LTDA;RPF 170;27/10/2025;1;;;R$ 5.937,75;R$ 0,00;R$ 0,00;R$ 5.937,75
SECRETARIA DA FAZENDA;BOL ICMS;30/10/2025;1;;;R$ 6.675,53;R$ 0,00;R$ 0,00;R$ 6.675,53
TREVO INDUSTRIAL DE ACARTONADOS S/A;NFE 58950;01/11/2025;1;;;R$ 16.604,37;R$ 0,00;R$ 0,00;R$ 16.604,37
TREVO INDUSTRIAL DE ACARTONADOS S/A;NFE JUROS ATRASO;01/11/2025;1;;;R$ 183,77;R$ 0,00;R$ 0,00;R$ 183,77
SECRETARIA DA FAZENDA;BOL ICMS.;04/11/2025;1;;;R$ 29.687,79;R$ 0,00;R$ 0,00;R$ 29.687,79
SECRETARIA DA FAZENDA;BOL ICMS CREDITO;06/11/2025;2;;;R$ 29.687,79;R$ 0,00;R$ 0,00;R$ 29.687,79
SECRETARIA DE FINANÇA DO MUNICIPIO DE FORTALEZA;DARM 2025.05082719-32;10/11/2025;1;;;R$ 88,94;R$ 0,00;R$ 0,00;R$ 88,94
SECRETARIA DA FAZENDA;BOL ICMS..;17/11/2025;2;;;R$ 14.853,77;R$ 0,00;R$ 0,00;R$ 14.853,77
SECRETARIA DA FAZENDA;BOL ICMS...;19/11/2025;2;;;R$ 15.067,65;R$ 0,00;R$ 0,00;R$ 15.067,65
ETERNIT S.A EM RECUPERACAO JUDICIAL;BOL 442368-1;01/12/2025;1;;;R$ 18.793,36;R$ 0,00;R$ 0,00;R$ 18.793,36
ETERNIT S.A EM RECUPERACAO JUDICIAL;BOL 442474-1;01/12/2025;1;;;R$ 26.811,09;R$ 0,00;R$ 0,00;R$ 26.811,09
DINAMICA EMPREENDIMENTOS E SERVICOS EIRELI;PCT 191;11/12/2025;1;;;R$ 250,00;R$ 0,00;R$ 0,00;R$ 250,00
DINAMICA EMPREENDIMENTOS E SERVICOS EIRELI;RPF 191;12/12/2025;1;;;R$ 250,00;R$ 0,00;R$ 0,00;R$ 250,00
MAXCONT CONSULTORIA EMPRESARIAL E CONTABILIDADE EIRELI;CFA MENSALIDADE 2015;01/01/2026;5;;;R$ 3.967,60;R$ 0,00;R$ 0,00;R$ 3.967,60
ETERNIT S.A EM RECUPERACAO JUDICIAL;REC PAG. ETERNIT BSC;01/01/2026;3;;;R$ 95.287,55;R$ 0,00;R$ 0,00;R$ 95.287,55
SECRETARIA DA FAZENDA;BOL REPASSE ICMS.;06/01/2026;3;;;R$ 31.893,71;R$ 0,00;R$ 0,00;R$ 31.893,71
RONALDO COELHO TAVARES;REC ACRESCIMO DE FRETE;06/01/2026;1;;;R$ 7.000,00;R$ 0,00;R$ 0,00;R$ 7.000,00
COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE;BOL 13924869.;22/01/2026;1;;;R$ 506,43;R$ 0,00;R$ 0,00;R$ 506,43
CAIXA ECONOMICA FEDERAL;CFA FGTS NARA;28/01/2026;1;;;R$ 190,39;R$ 0,00;R$ 0,00;R$ 190,39
RESCISÃO CONTRATUAL (TRCT);CFA TRCT NARA;28/01/2026;1;;;R$ 3.126,96;R$ 0,00;R$ 0,00;R$ 3.126,96
MAXCONT CONSULTORIA LTDA;BOL 022026;01/03/2026;1;;;R$ 847,00;R$ 0,00;R$ 0,00;R$ 847,00
SECRETARIA DE FAZENDA FEDERAL;BOL 202625005610704;01/03/2026;2;;;R$ 11.126,03;R$ 0,00;R$ 0,00;R$ 11.126,03
COMPANHIA ENERGETICA DO CEARA;BOL 1;29/04/2026;1;;;R$ 247,45;R$ 0,00;R$ 0,00;R$ 247,45
TOTAL;;;;;;R$ 328.498,62;R$ 0,00;R$ 0,00;R$ 328.498,62
