EMPRESA: DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA
ID_EMPRESA: 1
PERIODO: 2019-08-13 ate 2026-05-30
Fonte: Sienge API REST ao vivo (/accounts-receivable/receivable-bills), sem uso do banco local.
Observacao: Ind., Dias, Acrescimo e Desconto ficam em branco/R$ 0,00 quando o endpoint principal do Sienge nao retorna esses campos.
Registros: companies=10; works=347; titles=1488.

OBRAS ADMINISTRADAS
ID_OBRA;OBRA
257;1 - CONSTRUÇÃO DE CEI - BAIRRO MONDUBIM - FORTALEZA
256;1 - CONSTRUÇÃO DE ESCOLA VERTICAL 12 SALAS NO BAIRRO ALTO DA BRASILIA - SOBRAL
269;1 - CONSTRUÇÃO SEDE OPERACIONAL PRF - POCINHOS/PB
260;1 - REFORMA DA ESCOLA FREI TITO DE ALENCAR LIMA - FORTALEZA
254;1 - REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL DIOGO VITAL DE SIQUERA - FORTALEZA
270;1 - REFORMA E AMPLIAÇÃO DE HOSPITAL - ASSARE
259;1 - REFORMA ESCOLA MUNICIPAL JOSEFA BARROS DE ALENCAR - FORTALEZA
255;1 - SOP - CONSTRUÇÃO DE CEI - CANINDE
258;1 - SOP - CONSTRUÇÃO DE CEI - ICAPUÍ
271;1 - UNIDADE DE ALIMENTAÇÃO NUTRICIONAL DO CAMPUS ACARAÚ DO IFCE
262;1 - UNILAB - CONSTRUÇÃO DOS BLOCOS ANEXOS DO CAMPUS DOS MALÊS
261;1 - URBANIZAÇÃO CAMPUS UNILAB
272;2 - CONSTRUÇÃO DE 12 SALAS DE AULA COM QUADRA POLIESPORTIVA COBERTA - ASSARE
264;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS CRATEUS
265;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS MARACANAU
266;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS MORADA NOVA
268;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS UBAJARA
267;2 - CONSTRUÇÃO DO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - TABULEIRO DO NORTE
263;2 - CONSTRUÇÃO TIPOS ALVENARIA E/OU LIGHT STEEL FRAME - CAMPUS CAMOCIM
135;3 - SOP - CONSTRUÇÃO DE CEI - MARACANAÚ
201;4 - CONSTRUÇÃO DE CEI - BAIRRO MONDUBIM - FORTALEZA
187;4 - CONSTRUÇÃO DE ESCOLA VERTICAL 12 SALAS NO BAIRRO ALTO DA BRASILIA - SOBRAL
162;4 - REFORMA DA ESCOLA FREI TITO DE ALENCAR LIMA - FORTALEZA
194;4 - REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL DIOGO VITAL DE SIQUERA - FORTALEZA
168;4 - REFORMA E AMPLIAÇÃO DE HOSPITAL - ASSARE
185;4 - REFORMA ESCOLA MUNICIPAL JOSEFA BARROS DE ALENCAR - FORTALEZA
183;4 - SOP - CONSTRUÇÃO DE CEI - CANINDE
136;4 - SOP - CONSTRUÇÃO DE CEI - ICAPUÍ
200;4 - URBANIZAÇÃO CAMPUS UNILAB
186;5 - CONSTRUÇÃO DE GALPÃO INDUSTRIAL - TABULEIRO DO NORTE/CE
103;ALMOXARIFADO ANEXO
28;ALMOXARIFADO DINÂMICA
288;ALMOXARIFADO DINÂMICA - READEQUADO
276;ALMOXARIFADO PROVISORIO DO GENESIS
83;AMPLIAÇÃO DO HOSPITAL E MATERNIDADE LUZIA TEODORO DA COSTA NO MUNICÍPIO DE ORÓS
999;BANCOS (CEF, ITAU, BRADESCO E BNB)
294;CAMPUS MAURITI PERTENCE A EXPANSÃO IV DO IFCE
146;CENTRO DE EDUCAÇÃO INFANTIL - CEI IV - CASCAVEL
150;CENTRO DE EDUCAÇÃO INFANTIL FRANCISCA DOS SANTOS BARROSO - PARACURU
196;CENTRO DE GESTÃO INTEGRADA - CGI MUNICIPIO DE TAUA
125;COMERCIAL / VENDAS
155;COMPLEXO ESCOLAR SETOR C1 EMEIF - PARAIPABA
248;CONDOMINIO RESIDENCIAL EM AQUIRAZ DE 152 UNIDADES CASAS - GENESIS
195;CONSTRUÇAO DE UMA ESCOLA NO DISTRITO DE MONTE ALVERNE - CRATO
101;CONSTRUÇÃO DA ESTRUTURA DOS 12 LEITOS DE UTI - COVID19 - CAUCAIA
145;CONSTRUÇÃO DA QUADRA SÃO PEDRO - PARACURU
290;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO BASÍLIO - PALMACIA CE
197;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO CURUPIRA - OCARA CE
291;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO DE JAPÃO - PALMACIA CE
204;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO DE SERENO - OCARA CE
292;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO DE VILA BU - PALMACIA CE
289;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO GADO DOS FERROS - PALMACIA CE
199;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO SÃO MARCOS - OCARA CE
207;CONSTRUÇÃO DE 01 CRECHE TIPO II - DISTRITO SÃO PEDRO - OCARA CE
253;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - BOA VIAGEM - IFCE
251;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - LIMOEIRO DO NORTE - IFCE
250;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - QUIXADA - IFCE
252;CONSTRUÇÃO DE 2 BLOCOS COM 4 SALAS - UMIRIM
205;CONSTRUÇÃO DE BLOCO DE 04 (QUATRO) SALAS DE AULA NA REITORIA - STEEL FRAME
275;CONSTRUÇÃO DE CENTRO COMERCIAL HARMONY - LIGHT STEEL FRAME
148;CONSTRUÇÃO DE ESCOLA 12 SALAS - SENADOR POMPEU
143;CONSTRUÇÃO DE ESPAÇO EDUCATIVO 06 SALAS - CAMPOS SALES
