Título;Cód. empresa;Empresa;Documento;Nº documento;Data emissão;Cód. cliente;Cliente;Origem;Inadimplente;SPC;Serasa;Subjudice;Taxa administrativa;Seguro;Valor a receber;Valor baixado;Valor líquido;Valor total;Observação
89;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;206;13/08/2019;17;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 230.571,01;R$ 230.571,01;R$ 230.571,01;3° MEDIÇÃO OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES A MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA CAMPUS FORTALEZA
232;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFE;205;13/08/2019;21;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 57.764,30;R$ 57.764,30;R$ 57.764,30;1° MEDIÇÃO OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES A MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA CAMPUS ITAPIPOCA
233;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;209;13/08/2019;7;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 80.006,28;R$ 80.006,28;R$ 80.006,28;3° MEDIÇÃO OBJETO: CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA EXECUÇÃO DE OBRA DE ENGENHARIA PARA CONSTRUÇÃO DE SALAS DE AULA E ESPAÇO DE VIVENCIA NO CAMPUS JAGUARIBE
234;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;208;13/08/2019;1;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 79.227,87;R$ 79.227,87;R$ 79.227,87;4° MEDIÇÃO OBJETO: CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA EXECUÇÃO DE OBRA DE ENGENHARIA PARA CONSTRUÇÃO DE SALAS DE AULA EM FAVOR DO IFCE MORADA NOVA
90;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;211;04/09/2019;22;FUNDO MUNICIPAL DE SAÚDE;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 153.021,90;R$ 153.021,90;R$ 153.021,90;3° MEDIÇÃO - OBJETO: CONTRATAÇÃO DE EMPRESA PARA EXECUTAR OS SERVIÇOS DE REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE DO MUNICÍPIO DE MORRINHOS/CE. CONTRATO N° 20190010
93;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;214;10/09/2019;1;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 18.960,76;R$ 18.960,76;R$ 18.960,76;1° MEDIÇÃO OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES A MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA CAMPUS MORADA NOVA
94;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;219;10/09/2019;9;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 8.361,64;R$ 8.361,64;R$ 8.361,64;2° MEDIÇÃO OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES A MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA CAMPUS BOA VIAGEM
95;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;216;13/09/2019;12;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 23.230,53;R$ 23.230,53;R$ 23.230,53;3° MEDIÇÃO OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES A MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA CAMPUS CANINDÉ
96;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;217;13/09/2019;12;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 5.285,28;R$ 5.285,28;R$ 5.285,28;4° MEDIÇÃO OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES A MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA CAMPUS CANINDÉ
97;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;221;16/09/2019;7;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 13.928,10;R$ 13.928,10;R$ 13.928,10;1° MEDIÇÃO OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES A MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA CAMPUS JAGUARIBE.
99;1;DINAMICA EMPREENDIMENTOS E SOLUCOES LTDA;NFSE;220;19/09/2019;17;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ;CR;Não;Não;Não;Não;R$ 0,00;R$ 0,00;R$ 0,00;R$ 75.051,84;R$ 75.051,84;R$ 75.051,84;4°MEDIÇÃO OBJETO: SERVIÇOS COMUNS DE ENGENHARIA INERENTES A MANUTENÇÃO PREDIAL CORRETIVA OU PREVENTIVA CAMPUS FORTALEZA
